# ==============================================================================
# List	of	protein-ligand	known
# 17679	protein-ligand	complexes	sorted
# Latest	update:	Dec
# PDB code,	-logKd/Ki,	Kd/Ki,	name
# ==============================================================================
5eb3	1.45	Kd=35.2mM	(UEG)
1tnk	1.49	Ki=32.5mM	(PRA)
4bh4	1.49	Kd=32mM	(3-mer)
5vqe	1.49	Kd=32mM	(G2F)
4lh3	1.52	Ki=30mM	(GUA)
5ct1	1.52	Kd=30.2mM	(NHE)
5ele	1.52	Kd>30mM	(5-mer)
3mwe	1.54	Ki=29mM	(TLA)
4amw	1.55	Ki=28.3mM	(5DI)
1iig	1.57	Ki=27mM	(3PP)
3rup	1.57	Ki=27.0mM	(ADP)
5cs5	1.58	Kd=26.6mM	(PIN)
5ofv	1.58	Kd=26.2mM	(9TZ)
2b1q	1.59	Ki=26mM	(TRE)
1w8m	1.60	Ki=25mM	(E1P)
3itc	1.60	Ki=25mM	(CIT)
2it4	1.62	Ki=24.1mM	(PPF)
1a7t	1.64	Ki=23mM	(MES)
4d63	1.64	Kd~23mM	(SIA)
1hgj	1.66	Kd=22mM	(AMN)
1rdj	1.66	Ki=21.7mM	(MFB)
2o9r	1.68	Ki=21mM	(TCB)
4qsw	1.68	Kd=21mM	(38T)
1d2v	1.70	Kd=20mM	(BR)
1jou	1.70	Kd=20mM	(Na+)
2sfp	1.70	Ki=20mM	(PPI)
3gf2	1.70	Kd=20mM	(SAL)
3oay	1.70	IC50~20mM	(BDF)
4tyb	1.70	Kd=19.99mM	(3B1)
6cex	1.70	Kd>20mM	(NHE)
6cf5	1.70	Kd>20mM	(NHE)
3g6m	1.71	Ki=19.7mM	(CFF)
2hdr	1.72	Ki=19mM	(4A3)
3ern	1.72	Kd=18.91mM	(CAR)
3vzg	1.72	Kd=19mM	(2-mer)
3zst	1.72	IC50=19mM	(ACX)
5y61	1.72	Kd=19.1mM	(5GP)
1u2y	1.74	Ki=18mM	(GOX)
4qsx	1.74	Kd=18mM	(38S)
5y62	1.74	Kd=18.4mM	(5GP)
5ggj	1.75	Kd=17.78mM	(PNA)
1s8j	1.77	Kd=17mM	(NO3)
4bgx	1.77	Kd=17mM	(SIA-GAL)
3f39	1.78	Kd=16.5mM	(IPH)
5ggl	1.78	Kd=16.52mM	(6ZC)
2zgm	1.79	Ki=16.4mM	(LAT)
1ga8	1.80	Ki=16mM	(DEL)
3rxh	1.80	IC50=15.7mM	(HSM)
1af6	1.82	Kd=15mM	(GLC-FRU)
1bra	1.82	Ki=15000uM	(BEN)
1d5r	1.82	Ki=15mM	(TLA)
1y1m	1.82	Ki=15.3mM	(AC5)
3eqb	1.82	IC50=15mM	(LUG)
4ahv	1.82	Kd=15mM	(Z5P)
1rdn	1.84	Ki=14.4mM	(MAG)
1fd7	1.85	IC50=14mM	(AI1)
3khv	1.85	Ki=13.99mM	(4AL)
1mwt	1.88	Kd=13.3mM	(PNM)
1tnl	1.88	Ki=13.3mM	(TPA)
2ay2	1.88	Kd=13.1mM	(CXP)
4x8s	1.89	Ki=13mM	(3Z7)
1f2p	1.90	Ki=12.7mM	(PHE)
4mrh	1.90	Kd=12.6mM	(2CQ)
1f2o	1.91	Ki=12.4mM	(LEU)
1efi	1.92	IC50=12mM	(GAT)
3ehn	1.92	Kd=12mM	(NLC)
4bh3	1.92	Kd=12mM	(3-mer)
2rjr	1.94	IC50=11.6mM	(295)
5nn4	1.94	Kd=11.57mM	(SC2)
4mrf	1.95	Kd=11.2mM	(2CK)
1tnj	1.96	Ki=11.0mM	(PEA)
2gga	1.96	IC50=11mM	(GPJ)
5oxn	1.96	Kd=10.95mM	(2-mer)
1wdq	1.98	Kd=10.45mM	(MAL)
3i3d	1.99	Ki=10.3mM	(IPT)
1gbt	2.00	Ki=10mM	(GBS)
1ing	2.00	IC50>10mM	(ST5)
2bmv	2.00	Kd=10mM	(BEN)
2hds	2.00	Ki=10mM	(4MB)
2r58	2.00	Kd=10mM	(MLY)
3c2f	2.00	Kd=10.1mM	(PRP)
3g2y	2.00	Ki=10mM	(GF4)
3pce	2.00	Ki=10mM	(3HP)
3rv3	2.00	IC50=10mM	(ADP)
4awj	2.00	Kd~10000uM	(V6F)
4ctk	2.00	IC50>10mM	(SVN)
4kz5	2.00	Ki<10mM	(1U3)
4qsu	2.00	Kd=10mM	(TDR)
4qsv	2.00	Kd=10mM	(THM)
4u58	2.00	Kd>10.0mM	(3C6)
4y4g	2.00	Kd>10.0mM	(GGB)
6evq	2.00	Kd=10mM	(C05)
4ty8	2.03	Kd=9.31mM	(3AV)
5ekx	2.03	IC50=9.3mM	(2CQ)
5nzq	2.03	Kd=9.3mM	(5AO)
2ks9	2.04	Ki=9.02mM	(11-mer)
1jfh	2.05	Ki=9mM	(MA2-MA3)
4e4a	2.05	IC50=9mM	(JKE)
4ty9	2.05	Kd=8.96mM	(3B0)
4x8t	2.05	Kd=8.9mM	(3Z8)
5eiw	2.05	IC50=9mM	(X0V)
1qq9	2.06	Ki=8.7mM	(MET)
1rdi	2.06	Ki=8.8mM	(MFU)
2zg3	2.06	Kd=8.7mM	(SIA)
4u54	2.06	Kd=8.7mM	(3C5)
3ao4	2.07	Kd=8.5mM	(833)
4b0c	2.07	Kd=8.5mM	(C9H)
3rxp	2.08	IC50=8.3mM	(SW3)
5tyh	2.08	IC50=8.4mM	(7O4)
1njj	2.10	Ki=8mM	(GET)
2zg1	2.10	Kd=8.0mM	(SIA)
4aml	2.10	IC50=8mM	(GYU)
4cs9	2.10	Kd=8mM	(AMP)
3uf9	2.11	Ki=7.78mM	(FST)
1qx1	2.12	Ki=7.5mM	(FMF)
2w8w	2.12	Kd=7.5mM	(PLS)
3gv9	2.12	Ki=7.5mM	(GV9)
1p2g	2.13	Ki=7.4mM	(8-mer)
1uxb	2.15	Kd=7mM	(SIA-GAL)
3rxg	2.15	IC50=7.1mM	(SZ3)
4b0j	2.15	Kd=7.1mM	(3MQ)
4q90	2.15	Ki=7.0mM	(4H2)
5cs3	2.15	Kd=7.0mM	(EP1)
6fap	2.15	Kd=7.1mM	(D3H)
6fi1	2.15	Kd=7.1mM	(D3H)
2ay9	2.16	Kd=6.9mM	(5PV)
4tim	2.16	Ki=6.9mM	(2PG)
5fe6	2.16	Kd=6910uM	(5WZ)
6ghj	2.16	Kd=6.89mM	(3-mer)
3gqz	2.17	Ki=6.7mM	(GF7)
4y3j	2.17	Kd=6.8mM	(HIC)
5oxk	2.17	Kd=6.82mM	(2-mer)
5z5f	2.17	Ki=6.8mM	(FUB)
6gmx	2.17	Kd=6.7mM	(F7B)
3l7d	2.18	Ki=6.55mM	(DK5)
6g47	2.18	Kd=6.60mM	(SIA)
4ahr	2.19	Kd=6.5mM	(I2E)
4ahs	2.19	Kd=6.4mM	(AKH)
4amx	2.19	Ki=6.5mM	(5GF)
4jdf	2.19	Kd=6.4mM	(SPD)
4mre	2.19	Kd=6.4mM	(2C9)
5nzp	2.19	Kd=6.5mM	(9EW)
1w1v	2.20	IC50=6.3mM	(ALJ)
2vvo	2.20	IC50=6.3mM	(A6P)
4eh8	2.20	IC50=6247uM	(0OP)
1x8d	2.21	Kd=6.16mM	(RNS)
4g0z	2.21	Kd=6.13mM	(5GP)
1icj	2.22	Ki=6mM	(PGO)
1m0n	2.22	Ki=6.0mM	(HCP)
2aac	2.22	Kd=6mM	(FCB)
4aci	2.22	Kd=6mM	(CIT)
4uru	2.22	Kd=6.0mM	(6W2)
4ury	2.22	Kd=6.0mM	(RV1)
4x11	2.22	Kd=6mM	(SIA)
5fsb	2.22	Kd=6.0mM	(6YR)
5hcl	2.22	IC50=6mM	(5Y9)
5jqb	2.22	Kd=6mM	(IBP)
1ajp	2.23	Ki=5.85mM	(OMD)
2igv	2.23	Kd=5.9mM	(2-mer)
3ao5	2.23	Kd=5.9mM	(BBY)
3i3b	2.23	Ki=5.9mM	(149)
1rdl	2.24	Ki=5.7mM	(MMA)
2ay8	2.24	Kd=5.8mM	(4TB)
2os9	2.24	IC50=5.7mM	(INS)
5f6v	2.24	IC50=5.8mM	(5VL)
5m9w	2.24	Kd=5.7mM	(7GR)
5nzo	2.24	Kd=5.8mM	(9EZ)
1ukt	2.25	IC50>5600uM	(4-mer)
1ew8	2.26	Ki=5.5mM	(PAE)
3ao1	2.26	Kd=5.5mM	(BZX)
4eh9	2.26	IC50=5453uM	(0OQ)
4np2	2.26	Kd=5.5mM	(2L1)
5v6u	2.26	Ki=5470uM	(8YM)
1hge	2.27	Kd=5.4mM	(MNA)
1uto	2.27	Kd=5.32mM	(PEA)
4ahu	2.27	Kd=5.4mM	(ICO)
4mfe	2.27	Ki=5.4mM	(3PY)
1ps3	2.28	Ki=5.2mM	(KIF)
2rjs	2.28	IC50=5.3mM	(296)
3fu0	2.28	IC50=5308uM	(22F)
3ip8	2.28	Ki=5.2mM	(B85)
2ay1	2.29	Kd=5.14mM	(AHC)
4ddk	2.29	Kd=5.1mM	(0HN)
4ehv	2.29	IC50=5103uM	(0SJ)
5fnj	2.29	Kd=5150uM	(YI6)
1hyv	2.30	IC50>5mM	(TTA)
1inh	2.30	IC50=5mM	(ST6)
1jdj	2.30	IC50=5mM	(CFP)
1n1g	2.30	IC50~5mM	(BCP)
1o4g	2.30	IC50>5mM	(I59)
1uxa	2.30	Kd=5mM	(SIA-GAL)
1w1p	2.30	IC50=5.0mM	(GIO)
2ay7	2.30	Kd=5.0mM	(CLT)
2hdu	2.30	Ki=5mM	(F12)
2xix	2.30	IC50>5000uM	(XIX)
2xlc	2.30	Ki~5mM	(DEP)
3dyo	2.30	Ki=5.0mM	(IPT)
3kgq	2.30	Ki=5mM	(CIT)
3mhw	2.30	Ki=5.03mM	(ABV)
3pcg	2.30	Ki=5mM	(4HP)
3rv4	2.30	Ki=5mM	(ADP)
4b6e	2.30	IC50>5mM	(10L)
4e3d	2.30	IC50=5mM	(GTQ)
4g0y	2.30	Kd=4.99mM	(AMP)
4jsz	2.30	Ki=5000uM	(FB2)
4led	2.30	Kd~5mM	(XXR)
4wh7	2.30	IC50>5mM	(8H8)
5enc	2.30	IC50>5mM	(5QD)
5eni	2.30	IC50>5mM	(5QA)
5enj	2.30	IC50>5mM	(5Q9)
5g42	2.30	Kd>5mM	(4TU)
6gmq	2.30	Kd=5.0mM	(F4K)
1m0o	2.31	Ki=4.9mM	(MPM)
4y0a	2.31	Ki=4950uM	(SKM)
5mz8	2.31	Kd=4.9mM	(SIN)
2qve	2.32	IC50=4.8mM	(247)
5aol	2.32	Kd=4800uM	(UFV)
1z6d	2.34	Ki=4.6mM	(IMP)
4iie	2.34	Ki=4.6mM	(CGB)
5elf	2.34	Kd=4.57mM	(5-mer)
1qi0	2.35	Ki=4.5mM	(CBI)
3gtc	2.35	Ki=4.5mM	(GTC)
4k3k	2.35	IC50=4.44mM	(SFK)
4y3y	2.35	Kd=4.5mM	(DCL)
1o4j	2.36	IC50=4.4mM	(IS2)
3g2z	2.36	Ki=4.4mM	(GZ2)
5fsc	2.36	Kd=4.4mM	(G8Z)
3t0d	2.37	Ki=4.3mM	(149)
4jck	2.37	Kd=4.3mM	(1LL)
6rnt	2.37	Kd=4.3mM	(2AM)
3f6e	2.38	Kd=4.14mM	(8PA)
4aj2	2.38	Kd=4200uM	(52C)
1f73	2.39	Ki=4.1mM	(HMN)
1nwl	2.39	Ki=4.1mM	(964)
4nyt	2.39	Kd=4.1mM	(PC)
4tya	2.39	Kd=4.04mM	(3AE)
1cam	2.40	Kd=4mM	(BCT)
2wi1	2.40	IC50>4000uM	(ZZ2)
3dxg	2.40	Ki=4.0mM	(U5P)
3l7b	2.40	Ki=4.01mM	(DKZ)
3pcb	2.40	Ki=4mM	(3HB)
3t2t	2.40	Kd>4mM	(MQT)
4u5l	2.40	Kd=4.0mM	(3D6)
4y38	2.40	Kd=4mM	(0A9)
4zsm	2.40	IC50~4mM	(4RW)
1o4r	2.41	IC50=3.9mM	(787)
2wsx	2.41	Kd=3.9mM	(NM2)
4u5s	2.41	Kd=3.9mM	(3D0)
4u5o	2.42	Kd=3.8mM	(3D5)
5os3	2.43	Kd=3753uM	(A7N)
1o4h	2.44	IC50=3.6mM	(772)
1oba	2.44	Kd=3.6mM	(CHT)
1t4s	2.44	Ki=3.6mM	(VAL)
2i2b	2.44	Ki=3.6mM	(CC5)
2xiy	2.44	IC50=3600uM	(XIY)
3ked	2.44	IC50=3.6mM	(DAB)
3l7c	2.44	Ki=3.67mM	(DK4)
3mjl	2.44	Ki=3.6mM	(2AI)
4d62	2.44	Kd=3.64mM	(SIA)
1gbq	2.46	Kd=3.5mM	(10-mer)
1o4o	2.46	IC50=3.5mM	(HPS)
2aez	2.46	Ki=3.5mM	(DQR)
3l79	2.46	Ki=3.46mM	(DKX)
4ah9	2.46	Kd=3.5mM	(0MB)
4ddm	2.46	Kd=3.5mM	(0HO)
4eh6	2.46	IC50=3471uM	(0ON)
4x8u	2.46	Ki=3.5mM	(3ZB)
5aqh	2.46	Kd=3.5mM	(ZVO)
1tok	2.47	Kd=3.4mM	(MAE)
1utl	2.47	Kd=3.41mM	(PRA)
3rik	2.47	IC50=3.4mM	(3RI)
4gne	2.47	Kd=3.4mM	(7-mer)
4y4j	2.47	Kd=3.4mM	(LNR)
5dv4	2.47	IC50=3370uM	(NMY)
5jal	2.47	Kd=3400uM	(6HO)
6fhq	2.47	Kd=3.4mM	(DE5)
1gyx	2.48	Ki=3.3mM	(BEZ)
4u5n	2.48	Kd=3.3mM	(3D4)
4ze6	2.48	Kd=3.3mM	(011)
5mn1	2.48	Kd=3.3mM	(2AP)
5mnb	2.48	Kd=3.3mM	(2AP)
5mnx	2.48	Kd=3.3mM	(2AP)
5mon	2.48	Kd=3.3mM	(2AP)
1o4q	2.49	IC50=3.2mM	(256)
4efk	2.49	Kd=3.2mM	(0OC)
4ej2	2.49	Ki=3204uM	(D1F)
4kz7	2.49	Ki=3.2mM	(1U5)
1ai4	2.50	Ki=3.13mM	(DHY)
3g30	2.51	Ki=3.1mM	(G30)
4ctj	2.51	IC50=3.12mM	(3A9)
1rq2	2.52	IC50=3mM	(CIT)
1wdr	2.52	Kd=3.05mM	(MAL)
3ad7	2.52	Kd=3.01mM	(MTG)
3bf1	2.52	Kd=3mM	(ADP)
3fq7	2.52	IC50=3mM	(PXG)
3gr2	2.52	Ki=3mM	(GF4)
3mfv	2.52	Ki=3000uM	(Z70)
3vdb	2.52	Ki=3.03mM	(149)
4e3f	2.52	IC50=3mM	(GRE)
4g0q	2.52	Kd=3.00mM	(C5P)
4urz	2.52	Kd=3.0mM	(VJP)
5f6d	2.52	IC50>3mM	(5VJ)
5f6u	2.52	IC50=3mM	(5VK)
4hj2	2.53	Kd=2.95mM	(LZ6)
1iup	2.54	Ki=2.9mM	(ALQ)
1il3	2.55	IC50=2.8mM	(7DG)
1kf0	2.55	Kd=2.80mM	(ACP)
3b3s	2.55	Ki=2800uM	(LEU)
3ovn	2.55	Kd=2.8mM	(MPV)
5eif	2.55	IC50=2.8mM	(4M0)
5n53	2.55	Kd=2.8mM	(8NB)
5os0	2.55	Kd=2792uM	(A6Z)
1gwv	2.57	Kd=2.68mM	(LAT)
2ria	2.57	IC50=2.7mM	(289)
2wq4	2.57	Kd=2700uM	(SFU)
3kgp	2.57	Ki=2.68mM	(4AZ)
5v4q	2.57	Ki=2.7mM	(8WY)
2ay5	2.59	Kd=2.6mM	(IOP)
2jst	2.59	Kd=2.6mM	(HLT)
3gvb	2.59	Ki=2.6mM	(3GV)
4o3a	2.59	Ki=2.57mM	(ASP)
4o3c	2.59	Ki=2.57mM	(ASP)
4wef	2.59	Ki=2577uM	(DF4)
5tpb	2.59	Kd=2.6mM	(3-mer)
1o4p	2.60	IC50=2.5mM	(791)
2c4v	2.60	Ki=2.5mM	(CIT)
2r5a	2.60	Kd=2.5mM	(MLZ)
3gwv	2.60	IC50=2.54mM	(RFX)
3rxf	2.60	IC50=2.5mM	(4AP)
4up5	2.60	Kd=2.5mM	(94W)
5g46	2.60	Kd=2.5mM	(6VD)
1cze	2.62	Kd=2.4mM	(SIN)
1w1y	2.62	IC50=2.4mM	(TYP)
2kfh	2.62	Kd=2.4mM	(12-mer)
3f37	2.62	Kd=2.4mM	(2MY)
3f38	2.62	Kd=2.4mM	(2MY)
3fk1	2.62	Ki=2420uM	(GPF)
3rxl	2.62	IC50=2.4mM	(SZ9)
4lnf	2.62	IC50=2.4mM	(GLN)
4lno	2.62	Kd=2.4mM	(GLN)
5foo	2.62	Ki=2.4mM	(JAZ)
5lvd	2.62	Kd=2.4mM	(79F)
1ajn	2.63	Ki=2.32mM	(AAN)
1g5f	2.64	Ki=2.31mM	(DCE)
1o4i	2.64	IC50=2.3mM	(219)
3p1d	2.64	IC50=2.3mM	(MB3)
4i8x	2.64	Kd=2.3mM	(6P3)
4q7w	2.64	Ki=2300uM	(6MH)
4q8y	2.64	Ki=2300uM	(HQT)
4ufl	2.64	Ki=2.3mM	(DZX)
6fhu	2.64	Kd=2.3mM	(3-mer)
5ey0	2.65	Kd=2.26mM	(GTP)
1il5	2.66	IC50=2.2mM	(DDP)
3a1e	2.66	Kd=2.2mM	(ACP)
3rxb	2.66	IC50=2.2mM	(ALG)
4y2p	2.66	IC50=2200uM	(3C5)
5eld	2.66	Kd=2.19mM	(5-mer)
3lvw	2.67	Ki=2.12mM	(GSH)
1hgi	2.68	Kd=2.1mM	(ANA)
1o8b	2.68	Ki=2.1mM	(ABF)
2q72	2.68	IC50=2.09mM	(IXX)
3rxk	2.68	IC50=2.1mM	(SZ8)
4b3c	2.68	Kd=2.1mM	(5H1)
4b3d	2.68	Kd=2.1mM	(5MI)
5aqj	2.68	Kd=2100uM	(Q88)
5aqp	2.68	Kd=2.1mM	(1LQ)
3elc	2.69	Kd=2.02mM	(F01)
4usw	2.69	Kd=2.03mM	(ATP)
5k5s	2.69	IC50=2.04mM	(TRP)
1br5	2.70	Ki>2mM	(NEO)
1gym	2.70	IC50=2mM	(MYG)
1lt5	2.70	IC50=2mM	(TDG)
1tc1	2.70	IC50>2mM	(FMB)
1ylv	2.70	Ki=2.0mM	(SHF)
2fzc	2.70	Ki=1990uM	(EOP)
2ha4	2.70	Kd=2.0mM	(ACH)
2krd	2.70	Kd=2000uM	(17-mer)
2ohk	2.70	IC50~2000uM	(1SQ)
2ow6	2.70	IC50=2mM	(NK1)
2uyn	2.70	Kd=2mM	(2KT)
3bra	2.70	Kd=2000uM	(AEF)
3ftz	2.70	IC50>2mM	(848)
3fud	2.70	IC50=2000uM	(692)
3fuf	2.70	IC50=2000uM	(14O)
3fuh	2.70	IC50=2000uM	(5H1)
3gk2	2.70	Kd=2mM	(27A)
3gsg	2.70	Ki=2mM	(GF1)
3hvg	2.70	IC50=2mM	(EV0)
3rqw	2.70	Kd=2mM	(ACH)
3sl0	2.70	Ki=2mM	(FB5)
3zsw	2.70	Kd>2000uM	(ZSW)
3zsz	2.70	Kd>2000uM	(OM2)
3zt1	2.70	Kd>2000uM	(OM1)
4h4b	2.70	Ki=2.0mM	(11H)
4okp	2.70	Ki<2mM	(2V0)
4old	2.70	Ki>2mM	(2UZ)
4wks	2.70	Ki=2mM	(3QD)
4ypf	2.70	IC50>2mM	(4FS)
4yrc	2.70	IC50>2mM	(0P6)
4yrg	2.70	IC50>2mM	(4HU)
4yrr	2.70	IC50>2mM	(691)
5aok	2.70	Kd>2000uM	(GOH)
6fty	2.70	Kd>2000uM	(E7H)
4kpz	2.71	IC50=1950uM	(1SF)
1pfu	2.72	Kd=1900uM	(MPJ)
2rkd	2.72	Ki=1.9mM	(3PP)
3p4r	2.72	Ki=1.9mM	(GUA)
5fsx	2.72	Kd=1.9mM	(ADP)
1dg9	2.74	Ki=1.8mM	(EPE)
2qwb	2.74	Ki=1820uM	(SIA)
2vyt	2.74	Kd=1.84mM	(MLZ)
4m6u	2.74	Ki=1.8mM	(TTN)
4ndu	2.74	Kd=1.8mM	(AMG)
5os2	2.74	Kd=1821uM	(A7K)
1rql	2.75	Ki=1.79mM	(VSO)
5oyd	2.75	Kd=1.78mM	(7-mer)
1ny2	2.76	Ki=1.75mM	(5-mer)
4bt5	2.76	Ki=1.72mM	(23B)
5er4	2.76	Kd=1752uM	(5RL)
2bet	2.77	Ki=1.7mM	(DEZ)
2p3o	2.77	IC50=1.7mM	(GTA)
3fcq	2.77	Ki=1.7mM	(M3S)
3l0n	2.77	IC50=1680uM	(S5P)
4a4h	2.77	Kd=1.706mM	(DA2)
4g5y	2.77	Kd=1.7mM	(0OC)
4kz3	2.77	Ki=1.7mM	(1U1)
4urv	2.77	Kd=1.7mM	(UMK)
4ykk	2.77	Ki=1.7mM	(DSN)
5aqn	2.77	Kd=1.7mM	(JG8)
5oug	2.77	Kd=1703.44uM	(9Z0)
6er4	2.77	Kd=1.70mM	(3-mer)
2yiv	2.78	Ki=1.66mM	(NBN)
3ftw	2.78	IC50=1.67mM	(11X)
4yrt	2.78	IC50=1.65mM	(781)
5os4	2.78	Kd=1665uM	(A8H)
2bge	2.80	IC50=1.6mM	(T2D)
2bza	2.80	Ki=1.58mM	(ABN)
3zt4	2.80	Kd=1570uM	(ZT2)
4kz8	2.80	Ki=1.6mM	(1U6)
4urw	2.80	Kd=1.6mM	(DXO)
4yw2	2.80	Kd=1.6mM	(2-mer)
5fbi	2.80	Kd=1600uM	(5WD)
5fov	2.80	Kd=1590uM	(6-mer)
5hki	2.80	Kd=1.6mM	(6ZJ)
5ofw	2.80	Kd=1.6mM	(9TW)
3djx	2.81	Ki=1557.9uM	(C5P)
4eh4	2.81	IC50=1534uM	(0OL)
4oyt	2.81	Ki=1.55mM	(FON)
4rrg	2.81	Kd=1538.5uM	(A3T)
1czc	2.82	Kd=1.5mM	(GUA)
1p17	2.82	Kd=1.5mM	(IMP)
2a3a	2.82	IC50=1500uM	(TEP)
2rib	2.82	IC50=1.5mM	(GMH)
2w6z	2.82	IC50=1500uM	(L21)
2xj0	2.82	IC50=1500uM	(XJ0)
2yc0	2.82	IC50=1500uM	(2HG)
3fue	2.82	IC50=1510uM	(11S)
3lka	2.82	Kd=1.5mM	(M4S)
3ppr	2.82	Kd=1.5mM	(4CS)
4dsu	2.82	Kd=1.5mM	(BZI)
4k7i	2.82	Kd=1500uM	(CAQ)
4pb1	2.82	Kd=1530uM	(RBV)
4z46	2.82	Kd=1.51mM	(1PT)
5aip	2.82	Kd=1.5mM	(4HP)
6cw4	2.82	Kd=1.50mM	(FGV)
6evm	2.82	Kd>1500uM	(9-mer)
6mj7	2.82	Kd=1.5mM	(ARG)
4yz5	2.83	Kd=1.48mM	(SLT)
3fu3	2.84	IC50=1443uM	(92G)
3moh	2.84	Ki=1460uM	(PGA)
3zt2	2.84	Kd=1435uM	(ZT2)
4cgj	2.84	Kd=1460uM	(NZL)
1il4	2.85	IC50=1.4mM	(9DG)
2a29	2.85	Kd=1.4mM	(ANP)
2ork	2.85	IC50=1.4mM	(IPD)
3atk	2.85	IC50=1400uM	(SZ1)
3k3g	2.85	IC50=1.4mM	(MMU)
3rxa	2.85	IC50=1.4mM	(SZ1)
3udh	2.85	Kd=1.4mM	(091)
4luv	2.85	Kd=1400uM	(1XS)
4mlt	2.85	Ki=1.4mM	(TM4)
4x47	2.85	IC50=1.41mM	(DAN)
4ym2	2.85	Kd=1400uM	(SGA-BGC)
5aqo	2.85	Kd=1.4mM	(CWS)
5th4	2.85	Ki=1420uM	(BEW)
3qx8	2.86	Kd=1.37mM	(GTG)
3zt3	2.86	Kd=1375uM	(ZT4)
4ouj	2.86	Kd=1.39mM	(LBT)
4pd5	2.86	Kd=1370uM	(GEO)
5z1c	2.86	Ki=1.38mM	(ZXI)
4fgz	2.87	IC50=1350uM	(CQA)
5thj	2.87	Ki=1350uM	(0TR)
1e34	2.88	Ki=1.32mM	(TPX)
2woq	2.88	Ki=1.33mM	(AYC)
4a4f	2.88	Kd=1.317mM	(2MR)
4ucv	2.88	IC50=1310uM	(I6G)
1cet	2.89	Ki=1.3mM	(CLQ)
1iih	2.89	Ki=1.3mM	(3PG)
1ugp	2.89	Ki=1.3mM	(BUA)
2k2r	2.89	Kd=1.3mM	(10-mer)
2wpb	2.89	Ki=1.3mM	(ZZI)
2wtx	2.89	Ki=1.3mM	(VDO)
3f36	2.89	Kd=1.3mM	(IP0)
3g31	2.89	Ki=1.3mM	(GF1)
4b35	2.89	Kd=1.3mM	(4ME)
4cd8	2.89	Ki=1.3mM	(2-mer)
4gqq	2.89	Ki=1.3mM	(0XR)
4kzb	2.89	Ki=1.3mM	(NZ2)
4llx	2.89	Ki=1300uM	(5ZE)
4u5u	2.89	Kd=1.3mM	(3D2)
4urx	2.89	Kd=1.3mM	(HXY)
5aes	2.89	IC50~1.3mM	(5B0)
5flt	2.89	Kd=1280uM	(VJJ)
5ngz	2.89	Kd=1.3mM	(2BG)
5orv	2.89	Kd=1297uM	(A65)
6b7b	2.89	Kd=1280uM	(CWJ)
6f6s	2.89	Kd=1.30mM	(CXQ)
6mvu	2.89	Ki=1290uM	(K4V)
3c2u	2.90	Ki=1.25mM	(B3P)
5aom	2.90	Kd=1270uM	(FY8)
5dv2	2.90	IC50=1250uM	(C5P)
1ms0	2.91	Ki=1.23mM	(DAN)
2ay4	2.91	Kd=1.24mM	(PPT)
2pri	2.91	Ki=1.23mM	(D6G)
4kc1	2.91	IC50=1220uM	(WS1)
1eef	2.92	IC50=1.2mM	(2-mer)
1h2k	2.92	Ki=1.2mM	(OGA)
1o4k	2.92	IC50=1.2mM	(PSN)
1p6e	2.92	Ki=1.21mM	(PC5)
